Timestamp,Temperature,Humidity,Pressure,Dew Point
2025-04-01 09:44:32-03:00,25.4,74.0,935.32,20.4
2025-04-01 10:18:19-03:00,26.6,68.0,935.22,20.3
2025-04-01 10:45:36-03:00,28.2,66.0,935.08,21.2
2025-04-01 11:20:54-03:00,27.7,61.0,934.78,19.3
2025-04-01 11:43:14-03:00,29.1,59.0,934.47,20.2
2025-04-01 11:55:08-03:00,29.2,56.0,934.27,19.4
2025-04-01 12:24:32-03:00,29.8,56.0,933.9,19.9
2025-04-01 12:42:52-03:00,28.6,60.0,933.59,20.1
2025-04-01 12:54:25-03:00,27.5,62.0,933.46,19.4
2025-04-01 13:26:22-03:00,29.1,56.0,933.12,19.5
2025-04-01 13:47:52-03:00,28.4,59.0,932.85,19.6
2025-04-01 14:19:48-03:00,28.4,60.0,932.51,20.0
2025-04-01 14:41:02-03:00,28.0,66.0,932.31,21.0
2025-04-01 14:52:40-03:00,28.7,63.0,932.14,21.0
2025-04-01 15:29:22-03:00,27.1,73.0,932.14,21.8
2025-04-01 15:49:53-03:00,27.6,73.0,932.0,22.2
2025-04-01 15:58:38-03:00,27.7,72.0,932.0,22.1
2025-04-01 15:58:38-03:00,27.7,72.0,932.0,22.1
2025-04-01 15:58:38-03:00,27.7,72.0,932.0,22.1
2025-04-02 08:18:27-03:00,24.6,80.0,933.93,20.9
2025-04-02 08:37:50-03:00,25.2,78.0,934.0,21.1
2025-04-02 08:51:26-03:00,26.0,75.0,934.1,21.2
